target,location,forecast_week,bin_start_incl
Season onset,HHS Region 1,NA,47.0
Season peak week,HHS Region 1,NA,6.0
Season peak percentage,HHS Region 1,NA,5.8
Season onset,HHS Region 10,NA,51.0
Season peak week,HHS Region 10,NA,1.0
Season peak percentage,HHS Region 10,NA,4.8
Season onset,HHS Region 2,NA,49.0
Season peak week,HHS Region 2,NA,6.0
Season peak percentage,HHS Region 2,NA,10.4
Season onset,HHS Region 3,NA,51.0
Season peak week,HHS Region 3,NA,6.0
Season peak percentage,HHS Region 3,NA,7.5
Season onset,HHS Region 4,NA,45.0
Season peak week,HHS Region 4,NA,5.0
Season peak percentage,HHS Region 4,NA,9.3
Season onset,HHS Region 5,NA,49.0
Season peak week,HHS Region 5,NA,6.0
Season peak percentage,HHS Region 5,NA,5.8
Season onset,HHS Region 6,NA,48.0
Season peak week,HHS Region 6,NA,4.0
Season peak percentage,HHS Region 6,NA,12.7
Season onset,HHS Region 7,NA,49.0
Season peak week,HHS Region 7,NA,4.0
Season peak percentage,HHS Region 7,NA,8.9
Season onset,HHS Region 8,NA,50.0
Season peak week,HHS Region 8,NA,5.0
Season peak percentage,HHS Region 8,NA,3.3
Season onset,HHS Region 9,NA,49.0
Season peak week,HHS Region 9,NA,52.0
Season peak percentage,HHS Region 9,NA,7.0
Season onset,US National,NA,47.0
Season peak week,US National,NA,5.0
Season peak percentage,US National,NA,7.5
1 wk ahead,US National,43,1.7
1 wk ahead,HHS Region 1,43,1.0
1 wk ahead,HHS Region 2,43,2.4
1 wk ahead,HHS Region 3,43,1.2
1 wk ahead,HHS Region 4,43,1.8
1 wk ahead,HHS Region 5,43,1.2
1 wk ahead,HHS Region 6,43,2.9
1 wk ahead,HHS Region 7,43,1.2
1 wk ahead,HHS Region 8,43,0.7
1 wk ahead,HHS Region 9,43,2.0
1 wk ahead,HHS Region 10,43,1.0
1 wk ahead,US National,44,1.9
1 wk ahead,HHS Region 1,44,1.1
1 wk ahead,HHS Region 2,44,2.4
1 wk ahead,HHS Region 3,44,1.3
1 wk ahead,HHS Region 4,44,2.1
1 wk ahead,HHS Region 5,44,1.3
1 wk ahead,HHS Region 6,44,3.3
1 wk ahead,HHS Region 7,44,1.3
1 wk ahead,HHS Region 8,44,0.8
1 wk ahead,HHS Region 9,44,1.9
1 wk ahead,HHS Region 10,44,1.0
1 wk ahead,US National,45,2.1
1 wk ahead,HHS Region 1,45,1.2
1 wk ahead,HHS Region 2,45,2.8
1 wk ahead,HHS Region 3,45,1.6
1 wk ahead,HHS Region 4,45,2.2
1 wk ahead,HHS Region 5,45,1.2
1 wk ahead,HHS Region 6,45,3.9
1 wk ahead,HHS Region 7,45,1.4
1 wk ahead,HHS Region 8,45,0.8
1 wk ahead,HHS Region 9,45,2.0
1 wk ahead,HHS Region 10,45,0.9
1 wk ahead,US National,46,2.3
1 wk ahead,HHS Region 1,46,1.6
1 wk ahead,HHS Region 2,46,2.8
1 wk ahead,HHS Region 3,46,1.6
1 wk ahead,HHS Region 4,46,2.5
1 wk ahead,HHS Region 5,46,1.5
1 wk ahead,HHS Region 6,46,4.1
1 wk ahead,HHS Region 7,46,1.7
1 wk ahead,HHS Region 8,46,0.9
1 wk ahead,HHS Region 9,46,2.2
1 wk ahead,HHS Region 10,46,1.3
1 wk ahead,US National,47,2.3
1 wk ahead,HHS Region 1,47,1.5
1 wk ahead,HHS Region 2,47,3.0
1 wk ahead,HHS Region 3,47,1.6
1 wk ahead,HHS Region 4,47,2.2
1 wk ahead,HHS Region 5,47,1.6
1 wk ahead,HHS Region 6,47,4.6
1 wk ahead,HHS Region 7,47,1.5
1 wk ahead,HHS Region 8,47,0.9
1 wk ahead,HHS Region 9,47,2.2
1 wk ahead,HHS Region 10,47,1.2
1 wk ahead,US National,48,2.6
1 wk ahead,HHS Region 1,48,1.7
1 wk ahead,HHS Region 2,48,3.2
1 wk ahead,HHS Region 3,48,1.6
1 wk ahead,HHS Region 4,48,2.5
1 wk ahead,HHS Region 5,48,1.9
1 wk ahead,HHS Region 6,48,5.1
1 wk ahead,HHS Region 7,48,2.1
1 wk ahead,HHS Region 8,48,1.1
1 wk ahead,HHS Region 9,48,2.6
1 wk ahead,HHS Region 10,48,1.1
1 wk ahead,US National,49,3.4
1 wk ahead,HHS Region 1,49,1.8
1 wk ahead,HHS Region 2,49,3.6
1 wk ahead,HHS Region 3,49,1.8
1 wk ahead,HHS Region 4,49,3.1
1 wk ahead,HHS Region 5,49,2.2
1 wk ahead,HHS Region 6,49,8.0
1 wk ahead,HHS Region 7,49,2.8
1 wk ahead,HHS Region 8,49,1.3
1 wk ahead,HHS Region 9,49,3.6
1 wk ahead,HHS Region 10,49,1.3
1 wk ahead,US National,50,4.7
1 wk ahead,HHS Region 1,50,2.3
1 wk ahead,HHS Region 2,50,4.3
1 wk ahead,HHS Region 3,50,2.3
1 wk ahead,HHS Region 4,50,4.6
1 wk ahead,HHS Region 5,50,3.2
1 wk ahead,HHS Region 6,50,11.6
1 wk ahead,HHS Region 7,50,4.3
1 wk ahead,HHS Region 8,50,1.9
1 wk ahead,HHS Region 9,50,4.8
1 wk ahead,HHS Region 10,50,2.2
1 wk ahead,US National,51,5.7
1 wk ahead,HHS Region 1,51,2.8
1 wk ahead,HHS Region 2,51,4.5
1 wk ahead,HHS Region 3,51,3.5
1 wk ahead,HHS Region 4,51,5.3
1 wk ahead,HHS Region 5,51,4.8
1 wk ahead,HHS Region 6,51,10.4
1 wk ahead,HHS Region 7,51,7.3
1 wk ahead,HHS Region 8,51,2.4
1 wk ahead,HHS Region 9,51,7.0
1 wk ahead,HHS Region 10,51,4.3
1 wk ahead,US National,52,5.8
1 wk ahead,HHS Region 1,52,2.9
1 wk ahead,HHS Region 2,52,4.9
1 wk ahead,HHS Region 3,52,3.5
1 wk ahead,HHS Region 4,52,5.4
1 wk ahead,HHS Region 5,52,4.4
1 wk ahead,HHS Region 6,52,11.0
1 wk ahead,HHS Region 7,52,7.6
1 wk ahead,HHS Region 8,52,2.6
1 wk ahead,HHS Region 9,52,6.6
1 wk ahead,HHS Region 10,52,4.8
1 wk ahead,US National,1,5.9
1 wk ahead,HHS Region 1,1,2.9
1 wk ahead,HHS Region 2,1,5.9
1 wk ahead,HHS Region 3,1,3.7
1 wk ahead,HHS Region 4,1,6.7
1 wk ahead,HHS Region 5,1,4.7
1 wk ahead,HHS Region 6,1,11.5
1 wk ahead,HHS Region 7,1,6.7
1 wk ahead,HHS Region 8,1,2.6
1 wk ahead,HHS Region 9,1,4.8
1 wk ahead,HHS Region 10,1,4.2
1 wk ahead,US National,2,6.5
1 wk ahead,HHS Region 1,2,3.7
1 wk ahead,HHS Region 2,2,6.8
1 wk ahead,HHS Region 3,2,4.8
1 wk ahead,HHS Region 4,2,8.4
1 wk ahead,HHS Region 5,2,5.1
1 wk ahead,HHS Region 6,2,11.7
1 wk ahead,HHS Region 7,2,8.3
1 wk ahead,HHS Region 8,2,2.8
1 wk ahead,HHS Region 9,2,4.2
1 wk ahead,HHS Region 10,2,3.9
1 wk ahead,US National,3,7.2
1 wk ahead,HHS Region 1,3,4.3
1 wk ahead,HHS Region 2,3,8.4
1 wk ahead,HHS Region 3,3,6.0
1 wk ahead,HHS Region 4,3,9.2
1 wk ahead,HHS Region 5,3,5.3
1 wk ahead,HHS Region 6,3,12.7
1 wk ahead,HHS Region 7,3,8.9
1 wk ahead,HHS Region 8,3,2.8
1 wk ahead,HHS Region 9,3,4.1
1 wk ahead,HHS Region 10,3,4.0
1 wk ahead,US National,4,7.5
1 wk ahead,HHS Region 1,4,5.2
1 wk ahead,HHS Region 2,4,9.8
1 wk ahead,HHS Region 3,4,7.1
1 wk ahead,HHS Region 4,4,9.3
1 wk ahead,HHS Region 5,4,5.7
1 wk ahead,HHS Region 6,4,12.5
1 wk ahead,HHS Region 7,4,8.8
1 wk ahead,HHS Region 8,4,3.3
1 wk ahead,HHS Region 9,4,4.3
1 wk ahead,HHS Region 10,4,3.7
1 wk ahead,US National,5,7.4
1 wk ahead,HHS Region 1,5,5.8
1 wk ahead,HHS Region 2,5,10.4
1 wk ahead,HHS Region 3,5,7.5
1 wk ahead,HHS Region 4,5,9.0
1 wk ahead,HHS Region 5,5,5.8
1 wk ahead,HHS Region 6,5,11.4
1 wk ahead,HHS Region 7,5,8.7
1 wk ahead,HHS Region 8,5,3.2
1 wk ahead,HHS Region 9,5,4.0
1 wk ahead,HHS Region 10,5,3.0
1 wk ahead,US National,6,6.5
1 wk ahead,HHS Region 1,6,5.3
1 wk ahead,HHS Region 2,6,10.2
1 wk ahead,HHS Region 3,6,7.3
1 wk ahead,HHS Region 4,6,7.0
1 wk ahead,HHS Region 5,6,4.7
1 wk ahead,HHS Region 6,6,9.6
1 wk ahead,HHS Region 7,6,7.8
1 wk ahead,HHS Region 8,6,3.0
1 wk ahead,HHS Region 9,6,3.9
1 wk ahead,HHS Region 10,6,2.7
1 wk ahead,US National,7,5.0
1 wk ahead,HHS Region 1,7,4.4
1 wk ahead,HHS Region 2,7,7.4
1 wk ahead,HHS Region 3,7,5.5
1 wk ahead,HHS Region 4,7,4.8
1 wk ahead,HHS Region 5,7,3.8
1 wk ahead,HHS Region 6,7,7.3
1 wk ahead,HHS Region 7,7,5.6
1 wk ahead,HHS Region 8,7,2.9
1 wk ahead,HHS Region 9,7,3.7
1 wk ahead,HHS Region 10,7,2.8
1 wk ahead,US National,8,3.7
1 wk ahead,HHS Region 1,8,3.4
1 wk ahead,HHS Region 2,8,5.0
1 wk ahead,HHS Region 3,8,3.8
1 wk ahead,HHS Region 4,8,3.1
1 wk ahead,HHS Region 5,8,3.0
1 wk ahead,HHS Region 6,8,5.4
1 wk ahead,HHS Region 7,8,4.0
1 wk ahead,HHS Region 8,8,2.2
1 wk ahead,HHS Region 9,8,3.7
1 wk ahead,HHS Region 10,8,2.4
1 wk ahead,US National,9,3.2
1 wk ahead,HHS Region 1,9,2.6
1 wk ahead,HHS Region 2,9,4.6
1 wk ahead,HHS Region 3,9,2.9
1 wk ahead,HHS Region 4,9,2.7
1 wk ahead,HHS Region 5,9,2.6
1 wk ahead,HHS Region 6,9,4.3
1 wk ahead,HHS Region 7,9,3.6
1 wk ahead,HHS Region 8,9,1.9
1 wk ahead,HHS Region 9,9,3.5
1 wk ahead,HHS Region 10,9,2.0
1 wk ahead,US National,10,2.8
1 wk ahead,HHS Region 1,10,2.4
1 wk ahead,HHS Region 2,10,3.7
1 wk ahead,HHS Region 3,10,2.7
1 wk ahead,HHS Region 4,10,2.4
1 wk ahead,HHS Region 5,10,2.3
1 wk ahead,HHS Region 6,10,3.4
1 wk ahead,HHS Region 7,10,2.5
1 wk ahead,HHS Region 8,10,1.6
1 wk ahead,HHS Region 9,10,3.3
1 wk ahead,HHS Region 10,10,2.5
1 wk ahead,US National,11,2.5
1 wk ahead,HHS Region 1,11,2.1
1 wk ahead,HHS Region 2,11,3.2
1 wk ahead,HHS Region 3,11,2.5
1 wk ahead,HHS Region 4,11,2.0
1 wk ahead,HHS Region 5,11,2.2
1 wk ahead,HHS Region 6,11,2.8
1 wk ahead,HHS Region 7,11,2.7
1 wk ahead,HHS Region 8,11,1.3
1 wk ahead,HHS Region 9,11,3.0
1 wk ahead,HHS Region 10,11,2.2
1 wk ahead,US National,12,2.4
1 wk ahead,HHS Region 1,12,2.2
1 wk ahead,HHS Region 2,12,3.2
1 wk ahead,HHS Region 3,12,2.5
1 wk ahead,HHS Region 4,12,2.1
1 wk ahead,HHS Region 5,12,2.2
1 wk ahead,HHS Region 6,12,3.0
1 wk ahead,HHS Region 7,12,2.0
1 wk ahead,HHS Region 8,12,1.1
1 wk ahead,HHS Region 9,12,2.8
1 wk ahead,HHS Region 10,12,1.9
1 wk ahead,US National,13,2.1
1 wk ahead,HHS Region 1,13,2.0
1 wk ahead,HHS Region 2,13,2.9
1 wk ahead,HHS Region 3,13,2.0
1 wk ahead,HHS Region 4,13,1.8
1 wk ahead,HHS Region 5,13,1.8
1 wk ahead,HHS Region 6,13,2.5
1 wk ahead,HHS Region 7,13,1.8
1 wk ahead,HHS Region 8,13,1.1
1 wk ahead,HHS Region 9,13,2.5
1 wk ahead,HHS Region 10,13,1.7
1 wk ahead,US National,14,1.8
1 wk ahead,HHS Region 1,14,1.9
1 wk ahead,HHS Region 2,14,2.6
1 wk ahead,HHS Region 3,14,1.7
1 wk ahead,HHS Region 4,14,1.5
1 wk ahead,HHS Region 5,14,1.7
1 wk ahead,HHS Region 6,14,2.1
1 wk ahead,HHS Region 7,14,1.4
1 wk ahead,HHS Region 8,14,0.8
1 wk ahead,HHS Region 9,14,2.1
1 wk ahead,HHS Region 10,14,1.2
1 wk ahead,US National,15,1.6
1 wk ahead,HHS Region 1,15,1.7
1 wk ahead,HHS Region 2,15,2.3
1 wk ahead,HHS Region 3,15,1.5
1 wk ahead,HHS Region 4,15,1.3
1 wk ahead,HHS Region 5,15,1.5
1 wk ahead,HHS Region 6,15,2.1
1 wk ahead,HHS Region 7,15,0.9
1 wk ahead,HHS Region 8,15,0.7
1 wk ahead,HHS Region 9,15,2.0
1 wk ahead,HHS Region 10,15,1.1
1 wk ahead,US National,16,1.6
1 wk ahead,HHS Region 1,16,1.5
1 wk ahead,HHS Region 2,16,2.2
1 wk ahead,HHS Region 3,16,1.3
1 wk ahead,HHS Region 4,16,1.2
1 wk ahead,HHS Region 5,16,1.4
1 wk ahead,HHS Region 6,16,2.0
1 wk ahead,HHS Region 7,16,1.0
1 wk ahead,HHS Region 8,16,0.8
1 wk ahead,HHS Region 9,16,2.1
1 wk ahead,HHS Region 10,16,0.7
1 wk ahead,US National,17,1.5
1 wk ahead,HHS Region 1,17,1.3
1 wk ahead,HHS Region 2,17,3.0
1 wk ahead,HHS Region 3,17,1.3
1 wk ahead,HHS Region 4,17,1.2
1 wk ahead,HHS Region 5,17,1.2
1 wk ahead,HHS Region 6,17,2.0
1 wk ahead,HHS Region 7,17,0.5
1 wk ahead,HHS Region 8,17,0.6
1 wk ahead,HHS Region 9,17,2.0
1 wk ahead,HHS Region 10,17,0.8
1 wk ahead,US National,18,1.3
1 wk ahead,HHS Region 1,18,1.0
1 wk ahead,HHS Region 2,18,2.0
1 wk ahead,HHS Region 3,18,0.9
1 wk ahead,HHS Region 4,18,1.0
1 wk ahead,HHS Region 5,18,1.0
1 wk ahead,HHS Region 6,18,1.9
1 wk ahead,HHS Region 7,18,0.6
1 wk ahead,HHS Region 8,18,0.5
1 wk ahead,HHS Region 9,18,1.9
1 wk ahead,HHS Region 10,18,0.7
2 wk ahead,US National,43,1.9
2 wk ahead,HHS Region 1,43,1.1
2 wk ahead,HHS Region 2,43,2.4
2 wk ahead,HHS Region 3,43,1.3
2 wk ahead,HHS Region 4,43,2.1
2 wk ahead,HHS Region 5,43,1.3
2 wk ahead,HHS Region 6,43,3.3
2 wk ahead,HHS Region 7,43,1.3
2 wk ahead,HHS Region 8,43,0.8
2 wk ahead,HHS Region 9,43,1.9
2 wk ahead,HHS Region 10,43,1.0
2 wk ahead,US National,44,2.1
2 wk ahead,HHS Region 1,44,1.2
2 wk ahead,HHS Region 2,44,2.8
2 wk ahead,HHS Region 3,44,1.6
2 wk ahead,HHS Region 4,44,2.2
2 wk ahead,HHS Region 5,44,1.2
2 wk ahead,HHS Region 6,44,3.9
2 wk ahead,HHS Region 7,44,1.4
2 wk ahead,HHS Region 8,44,0.8
2 wk ahead,HHS Region 9,44,2.0
2 wk ahead,HHS Region 10,44,0.9
2 wk ahead,US National,45,2.3
2 wk ahead,HHS Region 1,45,1.6
2 wk ahead,HHS Region 2,45,2.8
2 wk ahead,HHS Region 3,45,1.6
2 wk ahead,HHS Region 4,45,2.5
2 wk ahead,HHS Region 5,45,1.5
2 wk ahead,HHS Region 6,45,4.1
2 wk ahead,HHS Region 7,45,1.7
2 wk ahead,HHS Region 8,45,0.9
2 wk ahead,HHS Region 9,45,2.2
2 wk ahead,HHS Region 10,45,1.3
2 wk ahead,US National,46,2.3
2 wk ahead,HHS Region 1,46,1.5
2 wk ahead,HHS Region 2,46,3.0
2 wk ahead,HHS Region 3,46,1.6
2 wk ahead,HHS Region 4,46,2.2
2 wk ahead,HHS Region 5,46,1.6
2 wk ahead,HHS Region 6,46,4.6
2 wk ahead,HHS Region 7,46,1.5
2 wk ahead,HHS Region 8,46,0.9
2 wk ahead,HHS Region 9,46,2.2
2 wk ahead,HHS Region 10,46,1.2
2 wk ahead,US National,47,2.6
2 wk ahead,HHS Region 1,47,1.7
2 wk ahead,HHS Region 2,47,3.2
2 wk ahead,HHS Region 3,47,1.6
2 wk ahead,HHS Region 4,47,2.5
2 wk ahead,HHS Region 5,47,1.9
2 wk ahead,HHS Region 6,47,5.1
2 wk ahead,HHS Region 7,47,2.1
2 wk ahead,HHS Region 8,47,1.1
2 wk ahead,HHS Region 9,47,2.6
2 wk ahead,HHS Region 10,47,1.1
2 wk ahead,US National,48,3.4
2 wk ahead,HHS Region 1,48,1.8
2 wk ahead,HHS Region 2,48,3.6
2 wk ahead,HHS Region 3,48,1.8
2 wk ahead,HHS Region 4,48,3.1
2 wk ahead,HHS Region 5,48,2.2
2 wk ahead,HHS Region 6,48,8.0
2 wk ahead,HHS Region 7,48,2.8
2 wk ahead,HHS Region 8,48,1.3
2 wk ahead,HHS Region 9,48,3.6
2 wk ahead,HHS Region 10,48,1.3
2 wk ahead,US National,49,4.7
2 wk ahead,HHS Region 1,49,2.3
2 wk ahead,HHS Region 2,49,4.3
2 wk ahead,HHS Region 3,49,2.3
2 wk ahead,HHS Region 4,49,4.6
2 wk ahead,HHS Region 5,49,3.2
2 wk ahead,HHS Region 6,49,11.6
